p1	p2	interaction
P51148	P84085	reaction
P84085	P24390	reaction
P24390	P84085	reaction
P84085	Q8N1I0	activation
Q8N1I0	P84085	activation
P84085	P49755	reaction
P49755	P84085	reaction
P84085	A4D2P6	binding
A4D2P6	P84085	binding
P84085	Q86YS3	reaction
Q86YS3	P84085	reaction
P84085	Q9H0U4	reaction
P84085	Q6ZUM4	inhibition
Q6ZUM4	P84085	inhibition
Q8NHS4	P84085	reaction
P84085	P08581	inhibition
P08581	P84085	inhibition
P84085	Q9H254	binding
Q9H254	P84085	binding
P84085	B2RTY4	catalysis
P84085	O14579	catalysis
P84085	Q9NZM3	binding
Q9NZM3	P84085	binding
Q9ULH1	P84085	catalysis
P84085	Q99418	reaction
O00189	P84085	reaction
Q92538	P84085	catalysis
P84085	P61006	reaction
P84085	Q9UPX8	binding
Q9UPX8	P84085	binding
P84085	O15020	reaction
P84085	Q15907	reaction
Q15907	P84085	reaction
P84085	Q00610	binding
Q00610	P84085	binding
P84085	P63010	reaction
P63010	P84085	reaction
Q9UIA0	P84085	reaction
Q9Y587	P84085	reaction
P84085	O75843	binding
O75843	P84085	binding
P84085	O14578	binding
O14578	P84085	binding
P84085	Q9NXU5	binding
Q9NXU5	P84085	binding
P84085	Q14088	reaction
P84085	O14939	activation
O14939	P84085	activation
P84085	Q9Y6D5	reaction
Q9Y6D5	P84085	reaction
P08100	P84085	reaction
P84085	Q5TCQ9	binding
Q5TCQ9	P84085	binding
P48444	P84085	reaction
Q9NZ52	P84085	reaction
P84085	Q5S007	activation
Q5S007	P84085	activation
P84085	Q13393	activation
Q13393	P84085	activation
P84085	Q15811	catalysis
P84085	Q9Y566	binding
Q9Y566	P84085	binding
P84085	Q8N3C7	binding
Q8N3C7	P84085	binding
P20645	O60664	reaction
O60664	P20645	reaction
Q92731	Q02790	reaction
Q02790	Q9Y2Z0	reaction
Q9Y2Z0	Q02790	reaction
P0DMV9	Q02790	reaction
Q02790	Q03933	binding
Q03933	Q02790	binding
P07900	Q02790	reaction
Q02790	P08238	catalysis
Q02790	O43301	reaction
O43301	Q02790	reaction
Q02790	P62942	binding
P62942	Q02790	binding
Q02790	P04150	catalysis
Q02790	P53041	catalysis
P08235	Q02790	catalysis
P03372	Q02790	reaction
P11142	Q02790	reaction
Q02790	O75970	binding
O75970	Q02790	binding
Q02790	P10275	reaction
Q02790	Q96MM6	binding
Q96MM6	Q02790	binding
Q02790	Q9UBD0	reaction
Q9UBD0	Q02790	reaction
Q02790	P34931	binding
P34931	Q02790	binding
Q02790	P06401	reaction
P06401	Q02790	reaction
Q02790	P54652	reaction
P54652	Q02790	reaction
Q02790	P31749	binding
P31749	Q02790	binding
Q02790	Q12931	reaction
Q02790	Q15185	reaction
Q02790	P31948	reaction
Q02790	Q08752	catalysis
Q9UBD0	Q02790	reaction
Q02790	P48723	binding
P48723	Q02790	binding
Q02790	P62140	binding
P62140	Q02790	binding
Q02790	P0DMV9	reaction
Q02790	P17066	binding
P17066	Q02790	binding
Q02790	Q14203	activation
Q02790	Q9NZ32	activation
Q02790	P34932	binding
P34932	Q02790	binding
Q02790	P61163	activation
Q00613	Q02790	reaction
Q02790	O00244	binding
O00244	Q02790	binding
Q02790	Q0VDF9	reaction
Q02790	P62136	binding
P62136	Q02790	binding
Q02790	P27361	catalysis
Q02790	P36873	binding
P36873	Q02790	binding
Q02790	O60346	binding
O60346	Q02790	binding
Q02790	Q9UKV8	binding
Q9UKV8	Q02790	binding
Q02790	P28482	catalysis
Q9NR63	P51648	binding
P51648	Q9NR63	binding
Q9NR63	P56937	binding
P56937	Q9NR63	binding
Q9NR63	Q96D70	binding
Q96D70	Q9NR63	binding
Q9NR63	Q8NBN7	binding
Q8NBN7	Q9NR63	binding
Q9NR63	Q92781	binding
Q92781	Q9NR63	binding
Q9NR63	O94788	binding
O94788	Q9NR63	binding
Q9NR63	Q96NR8	binding
Q96NR8	Q9NR63	binding
Q9NR63	P43353	binding
P43353	Q9NR63	binding
Q9NR63	Q8TC12	binding
Q8TC12	Q9NR63	binding
O75489	Q7L592	reaction
Q7L592	O95299	binding
O95299	Q7L592	binding
Q7L592	O75306	reaction
O75306	Q7L592	reaction
Q7L592	O75251	reaction
O75251	Q7L592	reaction
P04066	Q9BTY2	reaction
Q9Y625	O14792	catalysis
O14792	O94923	binding
O94923	O14792	binding
P78333	O14792	catalysis
P51654	O14792	catalysis
P35052	O14792	catalysis
Q8N158	O14792	catalysis
O75487	O14792	catalysis
P08581	Q13275	reaction
Q13275	O60486	binding
O60486	Q13275	binding
Q13275	Q9HCM2	binding
Q9HCM2	Q13275	binding
Q13275	O14786	activation
O14786	Q13275	activation
Q13275	Q9ULL4	binding
Q9ULL4	Q13275	binding
Q13275	Q9Y4D7	binding
Q9Y4D7	Q13275	binding
Q13275	O75051	binding
O75051	Q13275	binding
Q04912	Q13275	reaction
Q13275	O43157	binding
O43157	Q13275	binding
Q13275	Q9UIW2	binding
Q9UIW2	Q13275	binding
Q13275	Q13308	reaction
Q13275	P51805	activation
P51805	Q13275	activation
Q13275	O60462	binding
O60462	Q13275	binding
Q13275	O15031	binding
O15031	Q13275	binding
P13569	Q9HD26	reaction
P13569	O75061	binding
O75061	P13569	binding
Q9BQI5	P13569	catalysis
P13569	Q99436	catalysis
P13569	Q99942	binding
Q99942	P13569	binding
P11142	P13569	reaction
P13569	O95782	catalysis
P13569	P59998	reaction
P13569	Q8TE54	binding
Q8TE54	P13569	binding
Q9NZM3	P13569	reaction
P13569	O94973	catalysis
Q96QE2	P13569	catalysis
P13569	Q14C86	reaction
Q14C86	P13569	reaction
P13569	P50570	reaction
P50570	P13569	reaction
P22681	P13569	catalysis
P13569	O14526	reaction
O14526	P13569	reaction
P13569	P48764	binding
P48764	P13569	binding
P13569	Q13200	catalysis
P13569	O95528	reaction
P13569	P09496	binding
P09496	P13569	binding
P13569	Q00610	reaction
Q00610	P13569	reaction
P13569	Q9GZP9	reaction
Q9GZP9	P13569	reaction
P13569	P34931	catalysis
P13569	Q9UBC5	expression
P13569	Q96GF1	reaction
Q96GF1	P13569	reaction
P13569	P25787	catalysis
P13569	O00443	reaction
O00443	P13569	reaction
P13569	Q7LBE3	activation
P13569	Q14694	catalysis
Q9Y5X1	P13569	catalysis
P61158	P13569	catalysis
P13569	Q2M2I8	catalysis
P13569	P28065	catalysis
P13569	P43686	catalysis
P13569	Q9UQ16	catalysis
P13569	P0CG47	catalysis
P13569	P25786	catalysis
P13569	O15144	binding
O15144	P13569	binding
P13569	O14641	reaction
P13569	P0CG48	catalysis
P13569	Q8N668	ptmod
P13569	P0DMV9	reaction
P0DMV9	P13569	reaction
P13569	Q0JRZ9	binding
Q0JRZ9	P13569	binding
P13569	P60900	catalysis
P13569	P61020	reaction
P61020	P13569	reaction
P13569	O14976	reaction
P98082	P13569	reaction
Q9NY64	P13569	catalysis
P13569	P00533	reaction
P13569	P62979	reaction
P13569	P13861	binding
P13861	P13569	binding
P13569	P28074	catalysis
P13569	Q9BV40	reaction
P13569	P54619	ptmod
P54619	P13569	ptmod
P13569	P31321	binding
P31321	P13569	binding
Q8TD20	P13569	reaction
P13569	O43242	catalysis
Q96D71	P13569	catalysis
P13569	O75477	catalysis
P13569	Q13131	inhibition
Q13131	P13569	inhibition
P13569	P55072	reaction
Q9BUN8	P13569	reaction
P51809	P13569	catalysis
P13569	Q13976	ptmod
P13569	Q15811	reaction
Q15811	P13569	reaction
P17081	P13569	reaction
P13569	P62191	catalysis
P13569	P30154	binding
P30154	P13569	binding
P13569	Q9UGQ3	catalysis
P13569	P63027	reaction
P13569	P51665	catalysis
P13569	P54646	inhibition
P54646	P13569	inhibition
P13569	P28062	catalysis
P13569	O14818	catalysis
P13569	P55036	catalysis
P0DMV9	P13569	catalysis
P13569	O00231	catalysis
P13569	P55060	binding
P55060	P13569	binding
P02787	P13569	catalysis
P13569	Q05193	reaction
P13569	P62987	binding
P62987	P13569	binding
P13569	P51148	reaction
P13569	P25788	catalysis
P13569	P53675	reaction
P53675	P13569	reaction
P13569	P15531	binding
P15531	P13569	binding
P13569	P48556	catalysis
P13569	O43315	binding
O43315	P13569	binding
P13569	Q5T2W1	binding
Q5T2W1	P13569	binding
P13569	P62195	catalysis
P13569	P28070	catalysis
P13569	P49721	catalysis
O75379	P13569	catalysis
P13569	Q9BXS9	binding
Q9BXS9	P13569	binding
P13569	P31689	binding
P31689	P13569	binding
P13569	P43405	ptmod
P13569	Q15836	catalysis
P52594	P13569	catalysis
P13569	P28072	catalysis
P13569	P20618	catalysis
P13569	O00299	binding
O00299	P13569	binding
P13569	O75832	catalysis
P13569	A5LHX3	catalysis
P13569	P20339	binding
P20339	P13569	binding
P13569	P62333	catalysis
P13569	P40306	catalysis
P13569	Q9UL46	catalysis
P13569	P10644	binding
P10644	P13569	binding
P21796	P13569	expression
P13569	P25789	catalysis
P13569	O14640	binding
O14640	P13569	binding
P13569	Q5XXA6	binding
Q5XXA6	P13569	binding
P13569	P17612	ptmod
P17612	P13569	ptmod
P13569	O00232	catalysis
P13569	O00487	catalysis
P13569	Q99460	catalysis
P13569	P28066	catalysis
P13569	P35998	catalysis
P13569	P31323	binding
P31323	P13569	binding
P13569	P15311	binding
P15311	P13569	binding
P13569	P27797	expression
P13569	Q9NXW2	binding
Q9NXW2	P13569	binding
P13569	P49720	catalysis
P13569	P34932	binding
P34932	P13569	binding
P13569	P17980	catalysis
P13569	Q07157	binding
Q07157	P13569	binding
P13569	Q8TAA3	catalysis
Q16850	P35520	binding
P35520	Q16850	binding
Q16850	P08047	activation
Q16850	P25208	activation
Q16850	O00264	binding
O00264	Q16850	binding
Q16850	P98177	expression
Q96RU2	Q8N7F7	catalysis
Q96RU2	Q15139	ptmod
Q96RU2	O94888	reaction
O94888	Q96RU2	reaction
Q9HAW4	Q96RU2	reaction
P0CG48	Q96RU2	reaction
Q96RU2	Q15646	reaction
Q15646	Q96RU2	reaction
Q96RU2	Q12888	binding
Q12888	Q96RU2	binding
Q96RU2	P01106	binding
P01106	Q96RU2	binding
Q96RU2	P60484	catalysis
Q96RU2	P24298	binding
P24298	Q96RU2	binding
Q96RU2	Q86XD8	catalysis
Q96RU2	Q13114	inhibition
Q13114	Q96RU2	inhibition
P62987	Q96RU2	catalysis
Q96RU2	P11441	reaction
Q8IYB4	Q96RU2	catalysis
Q96RU2	O15205	catalysis
Q96RU2	O00463	inhibition
O00463	Q96RU2	inhibition
P0CG47	Q96RU2	catalysis
Q96RU2	P50542	reaction
P50542	Q96RU2	reaction
Q05823	Q96RU2	catalysis
Q96RU2	P62979	catalysis
Q96RU2	O15067	binding
O15067	Q96RU2	binding
Q96RU2	O60341	binding
O60341	Q96RU2	binding
Q96RU2	Q8TD30	binding
Q8TD30	Q96RU2	binding
Q96RU2	Q96PM5	binding
Q96PM5	Q96RU2	binding
Q96RU2	Q8IV36	binding
Q8IV36	Q96RU2	binding
Q16654	P08559	ptmod
P08559	Q16654	ptmod
Q16654	P27986	activation
P27986	Q16654	activation
Q16654	Q8N680	activation
Q16654	Q9Y6R4	activation
Q9Y6R4	Q16654	activation
Q16654	P11177	binding
P11177	Q16654	binding
Q16654	O00459	activation
O00459	Q16654	activation
Q16654	O95259	binding
O95259	Q16654	binding
Q16654	Q9UBK2	binding
Q9UBK2	Q16654	binding
Q16654	Q92569	activation
Q92569	Q16654	activation
P29803	Q16654	catalysis
Q16654	Q9H0R3	activation
Q9H0R3	Q16654	activation
P10515	Q16654	catalysis
Q16654	Q8NCM2	binding
Q8NCM2	Q16654	binding
Q16654	P11474	binding
P11474	Q16654	binding
Q16654	P31749	expression
Q16654	Q8N5D0	binding
Q8N5D0	Q16654	binding
Q9Y6N9	Q9H832	reaction
P62987	Q9Y6N9	reaction
Q9Y6N9	P63146	binding
P63146	Q9Y6N9	binding
Q9Y6N9	Q96GA3	binding
Q96GA3	Q9Y6N9	binding
Q1L5Z9	Q9Y6N9	catalysis
Q9Y6N9	Q9UBN4	binding
Q9UBN4	Q9Y6N9	binding
P61086	Q9Y6N9	catalysis
Q9Y6N9	Q9BYG4	binding
Q9BYG4	Q9Y6N9	binding
P62979	Q9Y6N9	reaction
Q8IYU2	Q9Y6N9	catalysis
Q9Y6N9	Q9NPB6	binding
Q9NPB6	Q9Y6N9	binding
Q9Y6N9	P41743	reaction
P41743	Q9Y6N9	reaction
Q9Y6N9	Q9H1D0	binding
Q9H1D0	Q9Y6N9	binding
Q9Y6N9	O00762	reaction
O00762	Q9Y6N9	reaction
Q9Y385	Q9Y6N9	catalysis
Q9Y6N9	Q05513	reaction
Q05513	Q9Y6N9	reaction
Q9Y6N9	Q5VVX9	reaction
Q16763	Q9Y6N9	catalysis
Q9Y6N9	Q8TBZ3	binding
Q8TBZ3	Q9Y6N9	binding
Q9Y6N9	P67775	binding
P67775	Q9Y6N9	binding
Q9Y6N9	Q9UL62	binding
Q9UL62	Q9Y6N9	binding
Q9Y6N9	Q495M9	binding
Q495M9	Q9Y6N9	binding
Q9Y6N9	Q13507	binding
Q13507	Q9Y6N9	binding
Q9Y6N9	Q5TCQ9	binding
Q5TCQ9	Q9Y6N9	binding
Q9C0C9	Q9Y6N9	catalysis
P49459	Q9Y6N9	reaction
Q9Y6N9	Q9BYG5	binding
Q9BYG5	Q9Y6N9	binding
Q9Y6N9	Q8TAF3	binding
Q8TAF3	Q9Y6N9	binding
Q9Y6N9	Q9BZA7	binding
Q9BZA7	Q9Y6N9	binding
Q9Y6N9	Q5VZ46	binding
Q5VZ46	Q9Y6N9	binding
Q9Y6N9	Q9NRD5	reaction
Q9NRD5	Q9Y6N9	reaction
Q9Y6N9	Q6PIF6	binding
Q6PIF6	Q9Y6N9	binding
Q9Y6N9	Q13402	binding
Q13402	Q9Y6N9	binding
Q9Y6N9	Q96QU1	binding
Q96QU1	Q9Y6N9	binding
Q9Y6N9	Q8WXR4	binding
Q8WXR4	Q9Y6N9	binding
Q9Y6N9	Q8N8V4	binding
Q8N8V4	Q9Y6N9	binding
Q9Y6N9	Q9Y6M7	binding
Q9Y6M7	Q9Y6N9	binding
Q9Y6N9	Q9Y210	binding
Q9Y210	Q9Y6N9	binding
Q9Y6N9	P48995	binding
P48995	Q9Y6N9	binding
Q9Y6N9	P0DPH7	binding
P0DPH7	Q9Y6N9	binding
Q9Y6N9	Q9H4B7	binding
Q9H4B7	Q9Y6N9	binding
Q9Y6N9	Q9HCX4	binding
Q9HCX4	Q9Y6N9	binding
Q9Y6N9	P62068	binding
P62068	Q9Y6N9	binding
Q9Y6N9	O14910	binding
O14910	Q9Y6N9	binding
Q9Y6N9	Q13098	binding
Q13098	Q9Y6N9	binding
Q9Y6N9	Q99627	binding
Q99627	Q9Y6N9	binding
Q86VI3	P11233	catalysis
Q96KP1	P11233	catalysis
Q13163	P11233	inhibition
P11233	O95466	reaction
O95466	P11233	reaction
Q02750	P11233	inhibition
P11233	Q96A65	binding
Q96A65	P11233	binding
P11233	O95398	inhibition
O95398	P11233	inhibition
P11233	Q8N1I0	activation
Q8N1I0	P11233	activation
P11233	Q05513	activation
Q05513	P11233	activation
P11233	P29992	activation
P29992	P11233	activation
P11233	Q9UHV5	activation
Q9UHV5	P11233	activation
P36507	P11233	catalysis
P11233	P61006	activation
P11233	Q9Y566	binding
Q9Y566	P11233	binding
Q15311	P11233	activation
P11233	A4D2P6	activation
A4D2P6	P11233	activation
P11233	Q8N3C7	binding
Q8N3C7	P11233	binding
P11233	Q8WYP3	activation
Q8WYP3	P11233	activation
P11233	Q96LW2	reaction
P11233	Q8TB24	activation
Q8TB24	P11233	activation
P11233	P51955	activation
P51955	P11233	activation
P11233	Q8WWN8	activation
Q8WWN8	P11233	activation
P11233	B2RTY4	catalysis
P11233	O14939	activation
O14939	P11233	activation
Q96AX2	P11233	reaction
P11233	P46940	reaction
P11233	Q92565	inhibition
Q92565	P11233	inhibition
P11233	P42336	activation
P42336	P11233	activation
P11233	Q92574	inhibition
Q92574	P11233	inhibition
P11233	Q6ZS11	activation
Q6ZS11	P11233	activation
P11233	P01111	catalysis
P11233	Q13459	inhibition
P11233	Q13576	binding
Q13576	P11233	binding
P11233	O14965	binding
O14965	P11233	binding
P11233	P63000	activation
P63000	P11233	activation
Q9NV70	P11233	catalysis
P11233	P21860	activation
P21860	P11233	activation
P11233	O95837	activation
O95837	P11233	activation
Q5JV73	P11233	reaction
P11233	Q8WWW0	binding
Q8WWW0	P11233	binding
P11233	P42338	activation
P42338	P11233	activation
P11233	P35579	activation
P11233	Q9UPT5	binding
Q9UPT5	P11233	binding
P11233	P67775	catalysis
P11233	O14976	binding
O14976	P11233	binding
Q8IYI6	P11233	catalysis
Q5SYB0	P11233	reaction
P11233	P49815	activation
P11233	O60346	activation
O60346	P11233	activation
P11233	Q9UKW4	activation
Q9UKW4	P11233	activation
P11233	Q15257	ptmod
P11233	P61586	activation
P61586	P11233	activation
P11233	Q12967	activation
P11233	Q38SD2	binding
Q38SD2	P11233	binding
Q15759	P11233	catalysis
P11233	Q15811	catalysis
P11233	P04626	activation
P04626	P11233	activation
P11233	P08581	catalysis
P11233	Q8WZA2	inhibition
Q8WZA2	P11233	inhibition
P11233	O00471	binding
O00471	P11233	binding
Q16539	P11233	catalysis
P11233	P48736	activation
P48736	P11233	activation
P45983	P11233	catalysis
P11233	P45984	activation
P45984	P11233	activation
P11233	Q04912	binding
Q04912	P11233	binding
P11233	O00329	activation
O00329	P11233	activation
P11233	O75061	reaction
P11233	Q13393	activation
Q13393	P11233	activation
P11233	Q8WZ64	activation
Q8WZ64	P11233	activation
P11233	O15211	activation
O15211	P11233	activation
P11233	Q9HB75	binding
Q9HB75	P11233	binding
P11233	O14578	binding
O14578	P11233	binding
P11233	P32019	catalysis
P11233	Q2PPJ7	activation
P11233	P61026	activation
P11233	Q12965	binding
Q12965	P11233	binding
P11233	P17081	activation
P11233	Q14765	activation
P11233	P53041	catalysis
P11233	P06213	activation
P06213	P11233	activation
P11233	P16989	binding
P16989	P11233	binding
P11233	P15153	activation
P15153	P11233	activation
P11233	Q5TCQ9	binding
Q5TCQ9	P11233	binding
P11233	P43403	activation
P43403	P11233	activation
P11233	P52735	activation
P52735	P11233	activation
O60645	P11233	catalysis
P11233	Q14CM0	reaction
P11233	Q8IZJ4	activation
Q8IZJ4	P11233	activation
P11233	P43405	activation
P43405	P11233	activation
P11233	P15498	activation
P15498	P11233	activation
P11233	P01112	catalysis
P11233	Q5S007	binding
Q5S007	P11233	binding
P11233	Q8TAG9	binding
Q8TAG9	P11233	binding
P11233	Q8TEU7	activation
Q8TEU7	P11233	activation
P11233	P30679	activation
P30679	P11233	activation
P11233	Q9NZM3	catalysis
P11233	P0DP24	binding
P0DP24	P11233	binding
P11233	Q6XZF7	activation
Q6XZF7	P11233	activation
P11233	P62714	catalysis
P11233	P00533	activation
P00533	P11233	activation
P11233	Q0VAM2	catalysis
P11233	Q15303	activation
Q15303	P11233	activation
P11233	Q9Y4G8	catalysis
P11233	P14616	activation
P14616	P11233	activation
P11233	Q13017	inhibition
P11233	Q6ZVD8	activation
Q6ZVD8	P11233	activation
P11233	P60763	activation
P60763	P11233	activation
P11233	P12830	expression
P11233	P62330	binding
P62330	P11233	binding
P11233	P62491	activation
P11233	P55196	activation
P55196	P11233	activation
P11233	Q6ZWJ1	activation
Q6ZWJ1	P11233	activation
P11233	Q13671	activation
Q13671	P11233	activation
P11233	P50148	activation
P50148	P11233	activation
P11233	Q6ZUM4	catalysis
P11233	P01116	catalysis
P53618	P11233	reaction
P11233	P41743	activation
P41743	P11233	activation
P11233	P51153	activation
P11233	Q96D71	binding
Q96D71	P11233	binding
P53779	P11233	catalysis
P11233	Q9NZL6	activation
Q9NZL6	P11233	activation
P11233	Q9UPX8	binding
Q9UPX8	P11233	binding
P11233	Q9Y4I1	catalysis
P11233	P60953	activation
P60953	P11233	activation
P12931	P11233	catalysis
P11233	Q96P48	activation
Q96P48	P11233	activation
P11233	Q9NRY4	inhibition
P11233	P30101	binding
P30101	P11233	binding
Q9UHR4	O00401	reaction
Q9UHR4	Q12929	binding
Q12929	Q9UHR4	binding
Q9UHR4	P04637	binding
P04637	Q9UHR4	binding
Q9UHR4	P42768	reaction
Q9UHR4	P12931	ptmod
O60359	P62714	inhibition
P62714	O60359	inhibition
O60359	Q13003	binding
Q13003	O60359	binding
O60359	P62136	ptmod
P62136	O60359	ptmod
O60359	P48058	reaction
O60359	O00189	binding
O00189	O60359	binding
O60359	Q16099	binding
Q16099	O60359	binding
O60359	P39086	binding
P39086	O60359	binding
O60359	O15399	binding
O15399	O60359	binding
O60359	Q12959	reaction
Q12959	O60359	reaction
O60359	P78352	reaction
P78352	O60359	reaction
O60359	O60391	binding
O60391	O60359	binding
O60359	P67775	ptmod
P67775	O60359	ptmod
O60359	Q92796	binding
Q92796	O60359	binding
O60359	P62140	inhibition
P62140	O60359	inhibition
O60359	Q6PI25	binding
Q6PI25	O60359	binding
O60359	Q8TCU5	binding
Q8TCU5	O60359	binding
O60359	Q13002	binding
Q13002	O60359	binding
O60359	Q14957	binding
Q14957	O60359	binding
O60359	P42263	reaction
P42263	O60359	reaction
O60359	Q12879	binding
Q12879	O60359	binding
P42261	O60359	reaction
O60359	P42262	reaction
O60359	P36873	inhibition
P36873	O60359	inhibition
O60359	Q13224	binding
Q13224	O60359	binding
O60359	Q16478	binding
Q16478	O60359	binding
O60359	O43424	binding
O43424	O60359	binding
O60359	Q8TBE1	binding
Q8TBE1	O60359	binding
Q24JP5	Q96KG7	binding
Q96KG7	Q24JP5	binding
O14641	O14578	reaction
O14641	Q96CW1	binding
Q96CW1	O14641	binding
O14641	Q9HAU4	catalysis
O14641	O00291	reaction
O00291	O14641	reaction
O14641	O75581	catalysis
O14641	O95782	reaction
O95782	O14641	reaction
O14641	Q9ULK5	reaction
Q9ULK5	O14641	reaction
O14641	Q9Y6F9	binding
Q9Y6F9	O14641	binding
O14641	Q9UGC6	binding
Q9UGC6	O14641	binding
O14641	A5LHX3	catalysis
O14641	O14640	reaction
O14640	O14641	reaction
Q96HF1	O14641	catalysis
P00533	O14641	reaction
Q5VT25	O14641	reaction
O14641	P28062	catalysis
P62993	O14641	catalysis
Q9NZM3	O14641	reaction
Q9HCE7	O14641	catalysis
P61158	O14641	reaction
O14641	P57771	binding
P57771	O14641	binding
O14641	Q9H1J7	reaction
P09544	O14641	catalysis
O14641	O96014	reaction
O96014	O14641	reaction
O14641	Q9H461	activation
Q9H461	O14641	activation
O14641	O95466	binding
O95466	O14641	binding
O14641	Q86T65	binding
Q86T65	O14641	binding
O14641	O75084	catalysis
O14641	O14904	reaction
O14641	Q969F2	activation
Q969F2	O14641	activation
O14641	P49841	binding
O14641	P11142	reaction
P11142	O14641	reaction
O14641	P41221	catalysis
O14641	P53675	reaction
P53675	O14641	reaction
O14641	Q6ZTQ4	reaction
O14641	P49795	binding
P49795	O14641	binding
O14641	P82279	inhibition
P82279	O14641	inhibition
O95996	O14641	reaction
Q86WC6	O14641	catalysis
O14950	O14641	catalysis
P07550	O14641	catalysis
O14641	O75116	reaction
O14641	P63151	binding
P63151	O14641	binding
O94973	O14641	reaction
P49840	O14641	binding
O15169	O14641	inhibition
O14641	P98082	reaction
O14641	Q93098	binding
Q93098	O14641	binding
O14641	P56704	catalysis
Q9ULV1	O14641	reaction
O14641	Q9BYG5	binding
Q9BYG5	O14641	binding
O14641	P52594	catalysis
Q53G59	O14641	reaction
O14641	Q14332	binding
O14641	P61160	catalysis
O14641	Q969G9	inhibition
Q969G9	O14641	inhibition
O14641	P48556	catalysis
P48729	O14641	reaction
Q8N752	O14641	activation
O14641	Q9Y2T1	catalysis
O14641	P0CG48	reaction
P0CG48	O14641	reaction
P61586	O14641	reaction
Q9ULW2	O14641	reaction
O14641	O75096	binding
O75096	O14641	binding
O14641	P35222	binding
P35222	O14641	binding
O14641	P28074	catalysis
O14974	O14641	catalysis
O14641	Q13464	binding
Q13464	O14641	binding
O14641	Q99466	inhibition
Q99466	O14641	inhibition
O14641	P17252	catalysis
O14641	Q5TD97	binding
Q5TD97	O14641	binding
O14641	P63010	binding
P63010	O14641	binding
O14641	Q5T4F7	reaction
Q5T4F7	O14641	reaction
O14641	Q68DA7	reaction
O14641	P56706	reaction
P56706	O14641	reaction
O14641	P28066	catalysis
O60237	O14641	catalysis
O14641	O75916	binding
O75916	O14641	binding
O14641	P12931	binding
P12931	O14641	binding
P63000	O14641	catalysis
O14641	Q93097	reaction
O14641	P0CG47	reaction
O14641	O75061	binding
O75061	O14641	binding
Q9NPG1	O14641	reaction
O14641	Q9GZV5	binding
Q9GZV5	O14641	binding
O14641	O00755	reaction
O00755	O14641	reaction
O14964	O14641	reaction
O14641	P61224	binding
P61224	O14641	binding
Q00005	O14641	reaction
O14641	Q66LE6	binding
Q66LE6	O14641	binding
O14641	Q14114	activation
Q14114	O14641	activation
O14641	Q7Z3G6	reaction
O14641	O00443	reaction
O00443	O14641	reaction
O14641	Q99835	reaction
Q99835	O14641	reaction
O14641	P08134	reaction
P08134	O14641	reaction
